temps,taille,population_adverse_nj,taux_de_competition,taux_de_croissance,capacite_biotique
0,995.0,1000.0,0.01,0.5,1000.0
1.0,994.7994960283061,540.3023058681398,0.01,0.5,1000.0
2.0,995.3163120770188,416.1468365471424,0.01,0.5,1000.0
3.0,992.720409168728,989.9924966004454,0.01,0.5,1000.0
4.0,993.0892815492574,653.6436208636119,0.01,0.5,1000.0
5.0,995.1122523800542,283.66218546322625,0.01,0.5,1000.0
6.0,992.7667950685437,960.1702866503659,0.01,0.5,1000.0
7.0,992.6149922832849,753.9022543433045,0.01,0.5,1000.0
8.0,995.5580993974737,145.50003380861355,0.01,0.5,1000.0
9.0,993.2337688991283,911.1302618846769,0.01,0.5,1000.0
10.0,992.4270226219062,839.0715290764524,0.01,0.5,1000.0
11.0,996.162875406382,4.425697988050786,0.01,0.5,1000.0
12.0,993.8709960108474,843.8539587324922,0.01,0.5,1000.0
13.0,992.4072904779405,907.4467814501962,0.01,0.5,1000.0
14.0,995.4963255588813,136.7372182078336,0.01,0.5,1000.0
15.0,993.9566886085926,759.6879128588213,0.01,0.5,1000.0
16.0,992.2007232686252,957.6594803233846,0.01,0.5,1000.0
17.0,994.7048609603875,275.16333805159695,0.01,0.5,1000.0
18.0,994.0543100341506,660.3167082440801,0.01,0.5,1000.0
19.0,992.0953489671947,988.7046181866692,0.01,0.5,1000.0
20.0,993.9921511520121,408.082061813392,0.01,0.5,1000.0
21.0,994.2558355240199,547.7292602242684,0.01,0.5,1000.0
22.0,992.1403356145549,999.9608263946371,0.01,0.5,1000.0
23.0,993.3960549870511,532.8330203333975,0.01,0.5,1000.0
24.0,994.5693326861741,424.17900733699696,0.01,0.5,1000.0
25.0,992.3408206735918,991.2028118634736,0.01,0.5,1000.0
26.0,992.9312565666729,646.9193223286403,0.01,0.5,1000.0
27.0,994.9902759442335,292.1388087338362,0.01,0.5,1000.0
28.0,992.6936719218148,962.6058663135666,0.01,0.5,1000.0
29.0,992.6071848661356,748.0575296890003,0.01,0.5,1000.0
30.0,995.5107100880939,154.25144988758404,0.01,0.5,1000.0
31.0,993.1920991112622,914.7423578045313,0.01,0.5,1000.0
32.0,992.4301555456301,834.2233605065103,0.01,0.5,1000.0
33.0,996.1205452787248,13.276747223059479,0.01,0.5,1000.0
34.0,993.8263561307664,848.5702747846052,0.01,0.5,1000.0
35.0,992.4035554698218,903.6922050915067,0.01,0.5,1000.0
36.0,995.5379666473744,127.96368962740468,0.01,0.5,1000.0
37.0,993.9490347082823,765.4140519453434,0.01,0.5,1000.0
38.0,992.2097376307797,955.0736440472949,0.01,0.5,1000.0
39.0,994.7516961517096,266.6429323599372,0.01,0.5,1000.0
40.0,994.0448868889292,666.9380616522619,0.01,0.5,1000.0
41.0,992.0974139561459,987.3392775238265,0.01,0.5,1000.0
42.0,994.0333595618808,399.98531498835126,0.01,0.5,1000.0
43.0,994.2398736816414,555.1133015206257,0.01,0.5,1000.0
44.0,992.1329268887624,999.8433086476912,0.01,0.5,1000.0
45.0,993.4295718130887,525.3219888177298,0.01,0.5,1000.0
46.0,994.546508889595,432.1779448847783,0.01,0.5,1000.0
47.0,992.323765279695,992.3354691509287,0.01,0.5,1000.0
48.0,992.9562681437841,640.1443394691997,0.01,0.5,1000.0
49.0,994.9609507403233,300.59254374363707,0.01,0.5,1000.0
50.0,992.6672617757378,964.9660284921133,0.01,0.5,1000.0
51.0,992.6231854911035,742.1541968137826,0.01,0.5,1000.0
52.0,995.4754419092069,162.99078079570546,0.01,0.5,1000.0
53.0,993.1568453296344,918.2827862121189,0.01,0.5,1000.0
54.0,992.4368345948599,829.3098328631502,0.01,0.5,1000.0
55.0,996.0800195222348,22.126756261955737,0.01,0.5,1000.0
56.0,993.7829491298589,853.2201077225842,0.01,0.5,1000.0
57.0,992.4007871585206,899.8668269691938,0.01,0.5,1000.0
58.0,995.5801472601898,119.18013544881929,0.01,0.5,1000.0
59.0,993.9419452712756,771.0802229758452,0.01,0.5,1000.0
60.0,992.2194065698123,952.4129804151563,0.01,0.5,1000.0
61.0,994.7989672076164,258.10163593826746,0.01,0.5,1000.0
62.0,994.0359370853223,673.5071623235862,0.01,0.5,1000.0
63.0,992.1001003577228,985.8965815825496,0.01,0.5,1000.0
64.0,994.0750379835071,391.85723042955,0.01,0.5,1000.0
